transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,1,3,16,4,6588,819702,139786.80000000005,99.57
0.5,1,3,16,5,6525,818584,43809.60000000008,99.415
0.5,1,3,16,6,6590,820294,134953.1999999991,99.465
0.5,1,3,16,7,6570,818676,127743.5199999997,99.92
0.5,1,3,16,8,6524,818812,64071.65999999964,98.86
0.5,1,3,16,9,6523,819856,81698.75999999902,98.705
0.5,1,3,32,0,6547,817966,69691.03999999983,99.265
0.5,1,3,32,1,6582,819258,66494.47999999985,99.5
0.5,1,3,32,2,6581,819306,105925.99999999993,99.095
0.5,1,3,32,3,6577,819420,71351.19999999918,99.15
0.5,1,3,32,4,6580,818714,87927.72000000003,99.79
0.5,1,3,32,5,6558,821018,124433.96000000017,98.86
0.5,1,3,32,6,6604,819696,124353.12000000029,99.555
0.5,1,3,32,7,6529,819968,83938.16000000005,99.0
0.5,1,3,32,8,6607,818756,75486.91999999956,99.62
0.5,1,3,32,9,6591,819934,172297.40000000029,99.525
0.5,1,4,4,0,6542,818448,43676.200000000084,99.145
0.5,1,4,4,1,6551,817868,82820.0,99.69
0.5,1,4,4,2,6554,819440,50742.92000000016,99.46
0.5,1,4,4,3,6587,818914,130023.76000000036,99.095
0.5,1,4,4,4,6566,818626,113758.3000000005,99.105
0.5,1,4,4,5,6553,820168,62654.159999998694,98.82
0.5,1,4,4,6,6540,819268,86543.21999999986,98.6
0.5,1,4,4,7,6535,818348,42388.07999999997,99.905
0.5,1,4,4,8,6571,820432,81624.6,99.5
0.5,1,4,4,9,6564,819324,61376.039999999986,99.535
0.5,1,4,8,0,6538,820668,67121.88000000009,98.685
0.5,1,4,8,1,6549,819682,47977.91999999991,99.05
0.5,1,4,8,2,6561,819628,66242.8,99.525
0.5,1,4,8,3,6548,818928,79167.19999999998,99.235
0.5,1,4,8,4,6582,818810,59179.69999999991,99.565
0.5,1,4,8,5,6468,820876,41046.11999999997,98.27
0.5,1,4,8,6,6586,818900,94040.69999999965,99.05
0.5,1,4,8,7,6547,819748,73030.03999999989,99.295
0.5,1,4,8,8,6593,818892,110349.99999999997,99.295
0.5,1,4,8,9,6575,818002,81904.5600000001,99.38
0.5,1,4,16,0,6560,818094,87460.73999999967,99.455
0.5,1,4,16,1,6572,820478,79629.53999999998,99.1
0.5,1,4,16,2,6593,819784,153729.43999999997,99.87
0.5,1,4,16,3,6564,818856,96303.19999999995,98.925
0.5,1,4,16,4,6550,818836,50076.46000000008,98.81
0.5,1,4,16,5,6531,821100,69989.99999999985,98.805
0.5,1,4,16,6,6555,819214,65223.64000000006,99.395
0.5,1,4,16,7,6548,817808,72469.43999999994,99.595
0.5,1,4,16,8,6529,820248,55149.040000000554,98.79
0.5,1,4,16,9,6558,818900,73053.70000000017,99.42
0.5,1,4,32,0,6530,820746,74198.88,98.47
0.5,1,4,32,1,6562,820098,55738.38000000133,99.58
0.5,1,4,32,2,6559,818304,103350.20000000042,98.78
0.5,1,4,32,3,6611,818126,129742.79999999997,99.52
0.5,1,4,32,4,6558,819796,158458.5200000005,99.035
