transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,10,3,16,2,6495,999190,61220.59999999974,98.23
0.5,10,3,16,3,6542,999190,66883.90000000017,98.895
0.5,10,3,16,4,6589,999370,212497.59999999916,99.26
0.5,10,3,16,5,6539,998740,76310.39999999997,98.92
0.5,10,3,16,6,6513,998920,46484.80000000002,99.27
0.5,10,3,16,7,6545,998920,98935.59999999873,98.67
0.5,10,3,16,8,6578,999010,157391.99999999764,99.275
0.5,10,3,16,9,6525,999640,68584.0000000003,98.88
0.5,10,3,16,10,6576,999640,118435.0,99.125
0.5,10,3,16,11,6571,998740,111868.00000000003,99.29
0.5,10,3,16,12,6546,999550,67940.00000000012,98.79
0.5,10,3,16,13,6573,999550,105601.9999999995,99.365
0.5,10,3,16,14,6548,999460,90070.09999999995,99.005
0.5,10,3,16,15,6573,999460,142447.9999999968,99.05
0.5,10,3,16,16,6568,999190,222121.99999999994,99.15
0.5,10,3,16,17,6534,999640,80344.10000000002,98.445
0.5,10,3,16,18,6563,999010,138394.00000000015,98.97
0.5,10,3,16,19,6551,998830,72650.0,98.8
0.5,10,3,16,20,6485,999010,50581.59999999996,97.87
0.5,10,3,16,21,6578,999550,67970.0,99.865
0.5,10,3,16,22,6556,999190,111386.99999999967,99.2
0.5,10,3,16,23,6523,999460,65022.599999999955,98.5
0.5,10,3,16,24,6589,998470,138563.99999999988,99.18
0.5,10,3,16,25,6537,999190,112637.20000000214,99.24
0.5,10,3,16,26,6509,999190,69509.60000000006,98.715
0.5,10,3,16,27,6554,998740,70424.1,99.04
0.5,10,3,16,28,6608,999460,156820.20000000007,99.895
0.5,10,3,16,29,6517,998290,67256.40000000017,98.935
0.5,10,3,16,30,6534,998200,66846.70000000007,98.76
0.5,10,3,16,31,6613,999280,178590.0000000031,99.65
0.5,10,3,16,32,6568,998920,71977.99999999988,99.085
0.5,10,3,16,33,6516,998560,49602.000000000044,98.555
0.5,10,3,16,34,6606,999460,83622.99999999993,99.3
0.5,10,3,16,35,6527,999280,53315.39999999995,99.305
0.5,10,3,16,36,6572,999280,134134.69999999998,99.295
0.5,10,3,16,37,6574,998110,82179.49999999959,99.405
0.5,10,3,16,38,6563,999460,84530.80000000002,99.825
0.5,10,3,16,39,6568,999550,90815.99999999933,99.36
0.5,10,3,16,40,6517,998560,59936.8,98.27
